"","Firmicutes","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Bacteroidetes","Bacteroidales","Bacteroidales.1","Bacteroidetes.1","Porphyromonadaceae","Campylobacter","Proteobacteria","Firmicutes.1","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacteriales","Bacilli","Clostridia"
"Sample-78",0.419291338582677,0.00344488188976378,0.176181102362205,0,0.0807086614173228,0.0285433070866142,0.0295275590551181,0,0,0.00344488188976378,0.0142716535433071,0.0295275590551181,0.00246062992125984,0,0.00344488188976378,0.0339566929133858,0.175196850393701
"Sample-81",0.324622626197046,0.00178542444408375,0.0480441486771628,0.000324622626197046,0.248498620353839,0.0129849050478818,0.0855380620029216,0.000162311313098523,0.000973867878591138,0.0749878266515176,0.0186658010063301,0.0550235351403993,0,0,0.0326245739328031,0.0335984418113943,0.0621652329167343
"Sample-82",0.0105661567576092,0.0107238605898123,0.217000473111497,0,0.00615044945592178,0.181359407033591,0.0236555748304684,0,0.000315407664406245,0.00126163065762498,0.149660936760763,0.00299637281185933,0.00126163065762498,0.00157703832203123,0.00110392682542186,0.0034694843084687,0.3888976502129
"Sample-84",0.125713527147219,0.00663746183459445,0.021505376344086,0.000265498473383778,0.143634674100624,0.302933758130891,0.0260188503916102,0,0.000929244656843223,0.000132749236691889,0.0926589672109385,0.0104871896986592,0.000265498473383778,0.000132749236691889,0.00331873091729723,0.0874817469799549,0.177883977167131
"Sample-86",0.125184529081783,0.00428107469737231,0.0125479775612637,0,0.246235606731621,0.0649542367877178,0.0642161204605846,0.00118098612341305,0.00457632122822557,0.00501919102450546,0.0323294951284322,0.0354295837023915,0.000295246530853262,0.000295246530853262,0.00428107469737231,0.00782403306761146,0.391349276645999
"Sample-87",0.151679306608884,0.00460455037919827,0.0471289274106176,0,0.165628385698808,0.207204767063922,0.0771939328277357,0.000947995666305525,0.00541711809317443,0.0693391115926327,0.0595882990249187,0.0170639219934995,0.000135427952329361,0,0.00785482123510292,0.00636511375947996,0.179848320693391
"Sample-89",0.00455777285045578,0.00234047795023405,0.00640551860064055,0,0.000985464400098546,0.232939147573294,0.0588814979058881,0,0.00492732200049273,0,0.0149051490514905,0.013550135501355,0.000246366100024637,0,0.000123183050012318,0.000615915250061592,0.659522049765952
"Sample-91",0.230049875311721,0.00174563591022444,0.0143391521197007,0,0.221321695760599,0.0307980049875312,0.100249376558603,0,0.00286783042394015,0.022069825436409,0.100498753117207,0.0643391521197007,0,0,0.0163341645885287,0.0447630922693267,0.150623441396509
"Sample-92",0.0869230769230769,0.0105128205128205,0.0319230769230769,0,0.188846153846154,0.0635897435897436,0.0114102564102564,0,0.000512820512820513,0.000769230769230769,0.106025641025641,0.0173076923076923,0,0.000128205128205128,0.393333333333333,0.0532051282051282,0.0355128205128205
"Sample-93",0.00408163265306122,0.00136054421768707,0.0136054421768707,0.000272108843537415,0.105986394557823,0.185714285714286,0.0159183673469388,0,0.00476190476190476,0.000136054421768707,0.440816326530612,0.0107482993197279,0,0.000408163265306122,0,0.000408163265306122,0.21578231292517
"Sample-98",0.0210609659540776,0.00427553444180523,0.0166270783847981,0,0.00459224069675376,0.198258115597783,0.0563737133808393,0,0.00221694378463975,0.00205859065716548,0.506254948535234,0.00443388756927949,0.000158353127474268,0,0,0.00380047505938242,0.179889152810768
