"","Gammaproteobacteria","Desulfovibrionales","Betaproteobacteria","Campylobacter","Porphyromonadaceae","Bacteroidetes","Porphyromonadaceae.1","Bacteroidetes.1","Bacteroidetes.2","Bacteroidetes.3","Porphyromonadaceae.2","Porphyromonadaceae.3","Alloprevotella","Prevotella","Bacteroidetes.4","Prevotella.1","Paraprevotella","Bacteroides","Actinobacteria","Actinobacteria.1","Firmicutes","Clostridiales","Alphaproteobacteria","Firmicutes.1","Veillonellaceae","Acidaminococcaceae","Firmicutes.2","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacterium","Leptotrichiaceae","Firmicutes.3","Clostridia","Anaerococcus","Firmicutes.4","Clostridiales.1","Clostridiales.2","Ruminococcaceae","Firmicutes.5"
"Sample-78",0.0121065375302663,0,0.00193704600484262,0.00338983050847458,0,0,0,0.00338983050847458,0.00484261501210654,0,0.00387409200968523,0.023728813559322,0,0.0789346246973366,0.000484261501210654,0,0.000484261501210654,0.0276029055690073,0.00338983050847458,0.179661016949153,0,0,0,0,0.025181598062954,0.00387409200968523,0.0334140435835351,0,0.00242130750605327,0.000484261501210654,0.00290556900726392,0,0.320581113801453,0.0857142857142857,0.0062953995157385,0.00387409200968523,0.0697336561743341,0,0.101694915254237
"Sample-81",0.00754345687110528,0.00213184650705149,0.00918333879960643,0.075762545096753,0.000163988192850115,0.000163988192850115,0.000983929157100689,0.00344375204985241,0.0011479173499508,0,0.0265660872417186,0.0551000327976386,0,0.24335847818957,0.00803542144965562,0,0.000163988192850115,0.0129550672351591,0.00180387012135126,0.048540505083634,0,0,0.00032797638570023,0.00032797638570023,0.0493604460478846,0.00639553952115448,0.0273860282059692,0,0,0.0329616267628731,0,0,0.266152836995736,0.0272220400131191,0.0296818629058708,0.000163988192850115,0.0341095441128239,0,0.0288619219416202
"Sample-82",0.120686938711202,0.000472664250827162,0.0283598550496297,0.00126043800220577,0.000315109500551442,0,0.000315109500551442,0.000630219001102883,0,0,0.000157554750275721,0.0225303292894281,0,0.00614463526075311,0,0,0,0.181187962817079,0.010713723018749,0.216795336379392,0,0,0,0.000787773751378604,0.00204821175358437,0.000157554750275721,0.00346620450606586,0.00157554750275721,0.00126043800220577,0.00110288325193005,0.000157554750275721,0,0.00787773751378604,0.00126043800220577,0.00157554750275721,0,0.110288325193005,0,0.278871907988026
"Sample-84",0.0739130434782609,0.000922266139657444,0.0171277997364954,0.000131752305665349,0.00276679841897233,0,0.000922266139657444,0.00948616600790514,0,0,0.00105401844532279,0.0129117259552042,0,0.142687747035573,0,0,0.00197628458498024,0.300527009222661,0.00658761528326746,0.0213438735177866,0,0,0.000263504611330698,0.00355731225296443,0.00263504611330698,0.00447957839262187,0.0868247694334651,0.000131752305665349,0.000263504611330698,0.00316205533596838,0.000131752305665349,0,0.0944664031620553,0.0168642951251647,0.013570487483531,0,0.08866930171278,0,0.0926218708827404
"Sample-86",0.0163548163548164,0.000277200277200277,0.0105336105336105,0.00471240471240471,0.0123354123354123,0.00110880110880111,0.0042966042966043,0.00526680526680527,0.000415800415800416,0.000138600138600139,0.0364518364518365,0.0181566181566182,0,0.266666666666667,0.00651420651420651,0.000415800415800416,0.000138600138600139,0.0608454608454608,0.00457380457380457,0.0117810117810118,0.000277200277200277,0.000415800415800416,0,0.00498960498960499,0.00235620235620236,0.0195426195426195,0.00706860706860707,0.000277200277200277,0.000831600831600832,0.00346500346500346,0.000554400554400554,0.0101178101178101,0.0874566874566875,0.00457380457380457,0.0200970200970201,0.000138600138600139,0.188634788634789,0.000277200277200277,0.187941787941788
"Sample-87",0.0243639790012115,0.0022883295194508,0.0325750437474761,0.0689191008211065,0.00498048189527527,0.000942253331538565,0.00619195046439629,0.0173643828240678,0,0,0.0383631713554987,0.0160183066361556,0,0.164355902544084,0.000269215237582447,0,0.00538430475164894,0.20352671961233,0.0045766590389016,0.0468434513393458,0,0.00134607618791224,0,0.000807645712747341,0.00753802665230852,0.00848027998384709,0.00713420379593485,0,0.000134607618791224,0.00767263427109974,0.000134607618791224,0.00928792569659443,0.0974559160048459,0.0205949656750572,0.0235563332884641,0,0.0803607484183605,0,0.0985327769551757
"Sample-89",0.00299437058330339,0.000479099293328542,0.0113786082165529,0,0.00922266139657444,0,0.00814468798658522,0.0288657324230447,0,0,0.000958198586657085,0.0184453227931489,0,0.00107797340998922,0,0,0.000119774823332136,0.247933884297521,0.00227572164331058,0.00622829081327105,0,0,0,0.000239549646664271,0,0.0129356809198706,0.000718648939992814,0,0,0.000119774823332136,0,0,0.00155707270331776,0.000359324469996407,0.00263504611330698,0,0.35836627140975,0.000119774823332136,0.284824529883818
"Sample-91",0.0958240119313945,0.000869997514292816,0.00347999005717127,0.0219985085756898,0.00397713149391002,0,0.00285856326124783,0.0178970917225951,0,0,0.0484712900820283,0.0295799154859558,0,0.220606512552821,0,0,0,0.0308227690778026,0.00173999502858563,0.0142928163062391,0.000248570718369376,0.000124285359184688,0,0.00124285359184688,0.0627641063882675,0.000124285359184688,0.044618443947303,0,0,0.0161570966940094,0.000124285359184688,0,0.197738006462839,0.0197613721103654,0.0118071091225454,0,0.0815311956251554,0,0.0713397961720109
"Sample-92",0.104110641567422,0.000896401587911384,0.000896401587911384,0.000768344218209758,0.000384172109104879,0,0.000512229478806505,0.000640286848508132,0,0,0.00166474580612114,0.00870790113971059,0,0.188628505570496,0,0.000128057369701626,0,0.0635164553720067,0.0105007043155334,0.031886285055705,0,0,0,0,0.0166474580612114,0.000512229478806505,0.0531438084261749,0.000128057369701626,0,0.00819567166090408,0.384556281213984,0.000256114739403253,0.0334229734921245,0.00525035215776668,0.0478934562684082,0,0.0316301703163017,0,0.00512229478806505
"Sample-93",0.402437373053487,0.0028436018957346,0.0326337169939066,0.0001354096140826,0.0010832769126608,0,0.004739336492891,0.0028436018957346,0,0,0,0.0119160460392688,0,0.105484089370345,0,0,0.0035206499661476,0.182125930941097,0.0014895057549086,0.01354096140826,0.0001354096140826,0,0.0002708192281652,0.0029790115098172,0.000677048070412999,0.00744752877454299,0.0004062288422478,0.0004062288422478,0,0,0,0,0.003385240352065,0.0002708192281652,0.000677048070412999,0,0.0966824644549763,0,0.12186865267434
