"","Lachnospiraceae","Lachnospiraceae.1","Clostridiales","Clostridia","Saccharofermentans","Fastidiosipila","Clostridium_sensu_stricto","Clostridiales.1","Peptococcus.niger","Peptostreptococcaceae","Firmicutes","Clostridiales.2","Mogibacterium","Ezakiella","Parvimonas","Clostridiales_Incertae_Sedis_XI","Clostridia.1","Anaerococcus","Clostridiales.3","Clostridiales.4","Peptoniphilaceae","Firmicutes.1","Collinsella.aerofaciens","Coriobacteriaceae","Coriobacteriaceae.1","Coriobacteriaceae.2","Bifidobacteriaceae","Actinomycetales","Actinomycetales.1","Alphaproteobacteria","Paraprevotella","Prevotella","Prevotella.1","Prevotella.bergensis","Prevotella.2","Prevotella.3","Bacteroidetes","Bacteroides.plebeius","Bacteroides","Porphyromonas","Porphyromonadaceae","Porphyromonas.1","Porphyromonas.2","Parabacteroides","Porphyromonadaceae.1","Bacteroidales","Alistipes","Bacteroidetes.1","Odoribacter.splanchnicus","Butyricimonas","Porphyromonadaceae.2","Porphyromonadaceae.3","Coprobacter","Campylobacter","Pasteurellaceae","Succinivibrio","Desulfovibrionales","Pseudomonas.deceptionensis.flu.et.al.","Enterobacteriaceae","Betaproteobacteria","Veillonellaceae","Acidaminococcaceae","Erysipelotrichaceae","Holdemanella","Erysipelotrichaceae.bacterium","Holdemania.massiliensis","Fusobacterium","Leptotrichiaceae","Bacilli","Streptococcus","Lactobacillus","Firmicutes.2","Firmicutes.3","Ruminococcaceae","Clostridiales.5","Clostridiales.6","Ruminococcaceae.1","Ruminococcaceae.2","Ruminococcaceae.3","Ruminococcaceae.4","Ruminococcaceae.5","Clostridiales.7","Oscillibacter","Oscillibacter.1","Ruminococcaceae.6","Clostridiales.8","Clostridiales.9","Howardella","Clostridiales.10"
"Sample-78",5,4,0,2,0,7,1,0,0,9,0,4,0,14,4,271,81,177,36,74,182,0,0,0,0,7,69,181,108,0,1,0,24,0,27,112,1,0,57,38,1,1,6,11,0,3,0,0,0,0,0,0,0,7,2,1,0,1,21,4,52,8,5,0,0,0,1,6,52,16,1,0,0,2,0,6,13,10,0,34,34,33,1,0,9,1,0,0,194
"Sample-81",11,10,0,0,0,1,0,0,0,88,1,90,2,118,2,208,75,196,524,107,589,0,7,0,0,4,14,164,118,2,1,0,25,15,1389,53,49,0,79,316,0,33,129,20,7,20,1,1,4,2,0,0,1,462,0,0,13,0,46,56,298,39,0,0,0,0,201,0,89,44,74,2,0,2,2,4,0,19,1,100,24,40,0,5,13,0,0,0,151
"Sample-82",13,32,1,0,0,0,3,0,0,5,0,4,0,0,7,14,1,8,8,1,19,0,55,6,1,6,1351,16,9,0,0,0,0,0,32,7,0,1,1149,3,0,0,1,140,0,3,1,0,0,2,0,2,0,8,0,0,3,1,765,180,13,1,8,10,0,0,6,1,4,18,0,5,0,33,3,0,0,5,0,513,87,8,7,13,30,2,0,0,1716
"Sample-84",6,62,0,0,0,0,53,0,0,88,0,14,0,0,491,65,2,128,1,7,151,0,39,1,1,9,134,3,25,2,4,0,348,0,682,52,0,0,2278,0,0,0,8,95,0,69,3,0,0,7,0,19,2,1,0,0,7,2,559,130,21,34,2,1,0,0,24,1,29,630,0,20,4,3,11,9,3,14,0,324,186,82,15,1,14,17,0,4,536
"Sample-86",255,58,0,1,0,1,24,0,3,31,0,79,0,96,0,70,42,34,294,21,108,73,12,2,9,6,31,34,20,0,1,3,1293,0,157,168,47,1,438,92,0,215,48,39,3,38,0,8,13,18,0,0,0,34,0,0,25,0,118,76,25,183,2,2,0,0,25,4,17,36,0,32,0,8,30,37,7,80,8,385,200,523,37,4,36,0,2,11,941
"Sample-87",7,27,1,2,0,0,2,0,5,60,0,112,2,267,2,66,24,153,2,24,339,69,21,12,0,1,251,58,39,0,39,0,10,4,911,296,2,0,1491,50,0,23,262,69,0,125,4,7,35,5,0,37,0,512,0,0,17,0,181,242,56,64,1,0,0,0,57,1,23,24,0,6,0,2,1,0,0,59,11,239,42,174,7,11,48,0,0,9,681
"Sample-89",96,97,0,4,0,0,0,1,0,4,1,16,0,0,1,5,0,3,1,1,5,0,0,1,8,10,49,2,1,0,1,0,3,0,4,1,0,733,1157,2,0,0,8,152,0,235,4,0,33,7,0,71,6,0,0,0,4,0,25,92,0,108,0,0,0,2,1,0,0,5,0,2,0,22,0,68,1,166,1,2085,491,85,5,0,50,7,1,0,2174
"Sample-91",0,42,4,1,0,0,1,0,1,35,0,60,0,15,0,51,209,159,988,58,270,0,1,2,0,11,3,29,83,0,0,0,1,38,1375,361,0,0,247,166,0,33,357,72,0,141,3,0,14,9,0,32,0,177,0,0,7,0,771,28,505,1,0,0,0,0,130,1,117,181,61,10,0,3,28,1,0,7,2,527,68,9,2,2,25,8,0,2,475
"Sample-92",0,0,0,0,0,0,0,0,0,370,0,4,0,7,165,37,1,41,0,3,48,2,3,0,43,36,237,6,6,0,0,1,5,0,1365,102,0,1,495,0,5,0,8,68,0,5,0,0,4,0,1,2,0,6,1,0,7,1,811,7,131,4,0,0,1,0,65,3003,376,36,3,0,0,0,0,0,0,2,0,110,117,2,0,2,9,0,0,4,31
"Sample-93",9,113,0,1,0,0,10,0,0,2,0,1,0,0,0,11,1,2,10,0,3,0,5,0,4,1,96,3,1,2,20,0,777,0,2,0,0,13,1332,0,0,0,0,88,0,21,0,0,13,22,0,7,1,1,1,0,27,0,2971,241,4,55,0,3,0,0,0,0,0,3,0,17,3,15,52,0,0,76,0,418,17,102,44,10,9,7,0,6,697
"Sample-98",11,75,0,7,0,0,0,1,0,8,0,16,0,24,2,11,9,19,13,2,27,2,8,18,0,1,19,2,84,0,2,0,1,0,0,28,0,0,1250,29,0,18,46,130,0,69,1,0,1,13,0,49,14,13,0,0,13,0,3184,0,16,0,1,0,0,0,0,0,20,4,0,10,2,7,1,19,0,36,2,304,116,98,5,12,38,8,2,0,394
