oldGroups,Phylum,Class,Order,Family,Genus
Dialister.1,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister.2,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister.3,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister.4,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dorea,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Dorea formicigenerans,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Dorea longicatena,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Eggerthella lenta,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae
Eisenbergiella tayi,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Enterobacteriaceae,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Enterobacteriaceae.1,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Enterococcus azikeevi/canintes et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Eremococcus coleocola,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Erysipelotrichaceae,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae
Erysipelotrichaceae bacterium,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Erysipelotrichaceae bacterium
Ezakiella,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Ezakiella
Ezakiella peruensis,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Ezakiella
Facklamia,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Facklamia ignava,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Faecalibacterium,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii.1,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii.2,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii.3,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii.4,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii.5,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium prausnitzii.6,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium.1,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium.2,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium.3,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium.4,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Faecalibacterium.5,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Fastidiosipila,Bacteria,Firmicutes,Clostridia,Clostridia,Fastidiosipila
Finegoldia,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Clostridiales_Incertae_Sedis_XI
Finegoldia magna,Bacteria,Firmicutes,Firmicutes,Clostridia.1,Clostridiales_Incertae_Sedis_XI
Firmicutes,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes
Firmicutes.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.1,Firmicutes.1
